PRODUCT_ID,PRODUCT_ABBREVIATION,PRODUCT_NAME,PRODUCT_FAMILY_CODE,PRODUCT_FAMILY_NAME
14084,atk, Application Toolkit,atf, Applications Technology
14087,exm, Expenses,fin, Financials
14088,xcc, Budgetary Control,fin, Financials
14089,hrt, Profile Management,hcm, Human Capital Management
14090,wlm,Obsoleted - 14090 -  Workforce Lifecycle Manager,hcm, Human Capital Management
14091,cmp, Compensation,hcm, Human Capital Management
14092,pyt, Payroll Test Harness,hcm, Human Capital Management
14093,hra, Performance Management,hcm, Human Capital Management
14094,poz, Supplier Model,prc, Procurement
14095,pjo, Project Control,prj, Projects
14096,pjs, Project Performance Reporting,prj, Projects
14097,doo, Distributed Order Orchestration,scm, Supply Chain Management
14098,m4u, Messages for UCCNet Registry,scm, Supply Chain Management
14099,cst, Cost Management,scm, Supply Chain Management
14100,egi, Product Hub,scm, Supply Chain Management
14101,rcv, Receiving,scm, Supply Chain Management
14102,gmq, Process Manufacturing Quality Management,scm, Supply Chain Management
14103,egp, Product Model,scm, Supply Chain Management
14104,msp, Global Order Promising,scm, Supply Chain Management
14105,hrc, HCM Common Architecture,hcm, Human Capital Management
14106,hrw, HCM Configuration Workbench,hcm, Human Capital Management
14144,zbs, Sales,crm, Customer Relationship Management
14145,zmm, Applications Common Components,crm, Customer Relationship Management
14146,zca, Common CRM,crm, Customer Relationship Management
14147,zcc, Contact Center Application,crm, Customer Relationship Management
14148,zon, Contact Center Common Components,crm, Customer Relationship Management
14149,mkt, Marketing,crm, Customer Relationship Management
14150,zoe, CRM for Microsoft Outlook,crm, Customer Relationship Management
14151,emc, E-Commerce,crm, Customer Relationship Management
14152,ewm, E-Mail and Web Marketing,crm, Customer Relationship Management
14153,emv, E-Service,crm, Customer Relationship Management
14154,zfs, Field Service Management,crm, Customer Relationship Management
14155,csh, Helpdesk,crm, Customer Relationship Management
14156,mkl, Lead Management,crm, Customer Relationship Management
14157,zmc, Marketing Common Components,crm, Customer Relationship Management
14158,mct, Multichannel Technologies,crm, Customer Relationship Management
14159,moo, Opportunity Management,crm, Customer Relationship Management
14160,zoc, Order Capture Common Components,crm, Customer Relationship Management
14161,qsc, Sales Catalog,crm, Customer Relationship Management
14162,qoc, Quote and Order Capture,crm, Customer Relationship Management
14163,zsf, Sales Forecasting,crm, Customer Relationship Management
14164,mks, Segmentation,crm, Customer Relationship Management
14165,emk, Self Service Common CRM Components,crm, Customer Relationship Management
14166,zvc, CRM Infrastructure Components,crm, Customer Relationship Management
14167,cso, Knowledge Management,crm, Customer Relationship Management
14168,csy, Service Request Management,crm, Customer Relationship Management
14169,mot, Territory Management,crm, Customer Relationship Management
14170,zcq, Trading Community Data Quality,crm, Customer Relationship Management
14171,zch, Trading Community Hub,crm, Customer Relationship Management
14172,zcp, Trading Community Policies,crm, Customer Relationship Management
14173,zhc, CDM Common Components,crm, Customer Relationship Management
14174,mow, Work Management,crm, Customer Relationship Management
14264,por, Self Service Procurement,prc, Procurement
14266,arc, Credit Management,fin, Financials
14464,cto, Configure To Order,scm, Supply Chain Management
14465,mcr, Campaign Run Optimization,scm, Supply Chain Management
14466,mop, Promotions and Deal Management,crm, Customer Relationship Management
14467,msn, Strategic Network Optimization,scm, Supply Chain Management
14471,dde, Deductions and Settlement Management,scm, Supply Chain Management
14472,ypd, Demand Management,scm, Supply Chain Management
14473,ddt, Predictive Trade Planning,scm, Supply Chain Management
14474,ddo, Trade Promotion Optimization,scm, Supply Chain Management
14475,dda, Advanced Forecasting and Demand Modeling,scm, Supply Chain Management
14476,ypa, Sales and Operations Planning,scm, Supply Chain Management
14704,fuf, Upgrade Framework,atf, Applications Technology
14705,mss, Production Scheduling,scm, Supply Chain Management
14764,hrx, HCM Country and Vertical Extensions,hcm, Human Capital Management
14848,ap, Payables,fin, Financials
14849,ar, Receivables,fin, Financials
14850,ben, Benefits,hcm, Human Capital Management
14852,ce, Cash Management,fin, Financials
14854,cn, Incentive Compensation,ic, Incentive Compensation.
14855,csd, Depot Repair,scm, Supply Chain Management
14856,cse, Asset Tracking,scm, Supply Chain Management
14858,csi, Installed Base,scm, Supply Chain Management
14865,cz, Configurator,scm, Supply Chain Management
14866,eam, Enterprise Asset Management,scm, Supply Chain Management
